date,maxTem,minTem,weathers,wind
2022-06-01,28℃,22℃,多云,东南风 2级
2022-06-02,30℃,22℃,晴,西南风 1级
2022-06-03,30℃,21℃,多云,南风 1级
2022-06-04,27℃,19℃,多云,西南风 2级
2022-06-05,30℃,20℃,多云,南风 2级
2022-06-06,31℃,21℃,多云,西南风 2级
2022-06-07,32℃,21℃,多云,南风 1级
2022-06-08,27℃,20℃,多云,东南风 1级
2022-06-09,26℃,20℃,多云,西风 1级
2022-06-10,27℃,20℃,阴,西南风 3级
2022-07-01,32℃,22℃,小雨,西南风 1级
2022-07-02,29℃,19℃,晴,西南风 1级
2022-07-03,32℃,22℃,晴,南风 2级
2022-07-04,34℃,24℃,多云,南风 1级
2022-07-05,36℃,24℃,晴,西南风 1级
2022-07-06,36℃,24℃,晴,南风 1级
2022-07-07,36℃,24℃,晴,西南风 1级
2022-07-08,37℃,25℃,晴,东南风 2级
2022-07-09,37℃,25℃,多云,西风 1级
2022-07-10,35℃,25℃,阴,北风 2级
2022-08-01,32℃,23℃,多云,西风 1级
2022-08-02,33℃,23℃,多云,西北风 1级
2022-08-03,34℃,24℃,雾,北风 2级
2022-08-04,31℃,24℃,小雨,东南风 1级
2022-08-05,34℃,24℃,雾,西风 1级
2022-08-06,34℃,25℃,多云,南风 1级
2022-08-07,37℃,25℃,多云,西北风 1级
2022-08-08,38℃,26℃,多云,西南风 1级
2022-08-09,38℃,25℃,多云,北风 1级
2022-08-10,38℃,25℃,多云,西北风 2级
2022-09-01,27℃,18℃,多云,南风 2级
2022-09-02,24℃,18℃,多云,东风 2级
2022-09-03,22℃,18℃,小雨,西南风 2级
2022-09-04,27℃,19℃,多云,西南风 2级
2022-09-05,32℃,19℃,雾,西南风 1级
2022-09-06,34℃,20℃,多云,西风 1级
2022-09-07,28℃,19℃,雾,北风 2级
2022-09-08,21℃,18℃,小雨,西北风 1级
2022-09-09,26℃,18℃,雾,南风 1级
2022-09-10,28℃,19℃,雾,东风 1级
2022-10-01,26℃,21℃,阴,北风 1级
2022-10-02,30℃,21℃,雾,东北风 1级
2022-10-03,24℃,17℃,雾,东北风 2级
2022-10-04,25℃,16℃,多云,南风 1级
2022-10-05,20℃,15℃,雾,东北风 1级
2022-10-06,19℃,14℃,多云,西南风 3级
2022-10-07,18℃,13℃,多云,东北风 1级
2022-10-08,17℃,13℃,小雨,西风 1级
2022-10-09,18℃,11℃,阴,北风 3级
2022-10-10,19℃,12℃,阴,西南风 2级
2022-11-01,24℃,16℃,雾,东南风 1级
2022-11-02,21℃,16℃,多云,北风 2级
2022-11-03,19℃,14℃,雾,东北风 1级
2022-11-04,19℃,13℃,小雨,东风 1级
2022-11-05,19℃,14℃,雾,东南风 2级
2022-11-06,20℃,15℃,雾,东北风 1级
2022-11-07,20℃,14℃,雾,北风 1级
2022-11-08,22℃,15℃,多云,东南风 1级
2022-11-09,18℃,16℃,雾,东风 2级
2022-11-10,21℃,16℃,雾,东北风 2级
2022-12-01,6℃,3℃,多云,东南风 1级
2022-12-02,9℃,5℃,多云,东风 2级
2022-12-03,7℃,6℃,雾,西风 2级
2022-12-04,12℃,5℃,雾,东南风 1级
2022-12-05,10℃,7℃,雾,东风 2级
2022-12-06,8℃,6℃,雾,西风 2级
2022-12-07,12℃,7℃,雾,东风 1级
2022-12-08,12℃,8℃,多云,南风 2级
2022-12-09,12℃,9℃,多云,西风 1级
2022-12-10,14℃,8℃,多云,西南风 1级
2022-01-01,13℃,2℃,多云,东南风 1级
2022-01-02,11℃,5℃,阴,东风 1级
2022-01-03,9℃,7℃,阴,北风 1级
2022-01-04,13℃,3℃,阴,南风 1级
2022-01-05,12℃,6℃,阴,北风 2级
2022-01-06,12℃,7℃,多云,北风 1级
2022-01-07,10℃,7℃,阴,北风 1级
2022-01-08,10℃,6℃,阴,北风 1级
2022-01-09,9℃,7℃,阴,北风 2级
2022-01-10,11℃,4℃,多云,东风 2级
2022-02-01,7℃,4℃,小雨,东北风 2级
2022-02-02,9℃,3℃,雾,西南风 1级
2022-02-03,8℃,4℃,雾,东北风 1级
2022-02-04,8℃,5℃,小雨,东南风 1级
2022-02-05,6℃,3℃,小雨,北风 1级
2022-02-06,6℃,2℃,小雨,北风 1级
2022-02-07,5℃,3℃,雾,东风 2级
2022-02-08,8℃,2℃,多云,南风 2级
2022-02-09,8℃,2℃,多云,东风 1级
2022-02-10,7℃,4℃,雾,北风 1级
2022-03-01,15℃,7℃,多云,东南风 1级
2022-03-02,17℃,7℃,阴,东北风 1级
2022-03-03,19℃,9℃,阴,南风 1级
2022-03-04,20℃,10℃,多云,西风 2级
2022-03-05,21℃,11℃,阴,东北风 2级
2022-03-06,21℃,9℃,晴,西南风 2级
2022-03-07,21℃,10℃,晴,东风 1级
2022-03-08,22℃,9℃,晴,北风 2级
2022-03-09,24℃,12℃,阴,北风 1级
2022-03-10,25℃,13℃,多云,北风 1级
2022-04-01,16℃,9℃,阴,西南风 1级
2022-04-02,20℃,10℃,多云,东南风 2级
2022-04-03,18℃,11℃,多云,北风 2级
2022-04-04,15℃,10℃,多云,西风 1级
2022-04-05,21℃,11℃,阴,南风 1级
2022-04-06,22℃,11℃,晴,南风 2级
2022-04-07,26℃,13℃,晴,南风 1级
2022-04-08,26℃,15℃,小雨,北风 1级
2022-04-09,29℃,16℃,多云,南风 2级
2022-04-10,29℃,17℃,多云,东南风 1级
2022-05-01,22℃,12℃,多云,西南风 3级
2022-05-02,25℃,11℃,多云,西南风 2级
2022-05-03,25℃,13℃,多云,南风 1级
2022-05-04,27℃,15℃,多云,南风 1级
2022-05-05,29℃,17℃,多云,南风 1级
2022-05-06,33℃,19℃,多云,东南风 2级
2022-05-07,32℃,20℃,多云,南风 2级
2022-05-08,27℃,17℃,小雨,北风 2级
2022-05-09,29℃,17℃,多云,南风 2级
2022-05-10,29℃,17℃,小雨,东北风 1级
2022-06-01,28℃,22℃,多云,东南风 2级
2022-06-02,30℃,22℃,晴,西南风 1级
2022-06-03,30℃,21℃,多云,南风 1级
2022-06-04,27℃,19℃,多云,西南风 2级
2022-06-05,30℃,20℃,多云,南风 2级
2022-06-06,31℃,21℃,多云,西南风 2级
2022-06-07,32℃,21℃,多云,南风 1级
2022-06-08,27℃,20℃,多云,东南风 1级
2022-06-09,26℃,20℃,多云,西风 1级
2022-06-10,27℃,20℃,阴,西南风 3级
2022-07-01,32℃,22℃,小雨,西南风 1级
2022-07-02,29℃,19℃,晴,西南风 1级
2022-07-03,32℃,22℃,晴,南风 2级
2022-07-04,34℃,24℃,多云,南风 1级
2022-07-05,36℃,24℃,晴,西南风 1级
2022-07-06,36℃,24℃,晴,南风 1级
2022-07-07,36℃,24℃,晴,西南风 1级
2022-07-08,37℃,25℃,晴,东南风 2级
2022-07-09,37℃,25℃,多云,西风 1级
2022-07-10,35℃,25℃,阴,北风 2级
2022-08-01,32℃,23℃,多云,西风 1级
2022-08-02,33℃,23℃,多云,西北风 1级
2022-08-03,34℃,24℃,雾,北风 2级
2022-08-04,31℃,24℃,小雨,东南风 1级
2022-08-05,34℃,24℃,雾,西风 1级
2022-08-06,34℃,25℃,多云,南风 1级
2022-08-07,37℃,25℃,多云,西北风 1级
2022-08-08,38℃,26℃,多云,西南风 1级
2022-08-09,38℃,25℃,多云,北风 1级
2022-08-10,38℃,25℃,多云,西北风 2级
2022-09-01,27℃,18℃,多云,南风 2级
2022-09-02,24℃,18℃,多云,东风 2级
2022-09-03,22℃,18℃,小雨,西南风 2级
2022-09-04,27℃,19℃,多云,西南风 2级
2022-09-05,32℃,19℃,雾,西南风 1级
2022-09-06,34℃,20℃,多云,西风 1级
2022-09-07,28℃,19℃,雾,北风 2级
2022-09-08,21℃,18℃,小雨,西北风 1级
2022-09-09,26℃,18℃,雾,南风 1级
2022-09-10,28℃,19℃,雾,东风 1级
2022-10-01,26℃,21℃,阴,北风 1级
2022-10-02,30℃,21℃,雾,东北风 1级
2022-10-03,24℃,17℃,雾,东北风 2级
2022-10-04,25℃,16℃,多云,南风 1级
2022-10-05,20℃,15℃,雾,东北风 1级
2022-10-06,19℃,14℃,多云,西南风 3级
2022-10-07,18℃,13℃,多云,东北风 1级
2022-10-08,17℃,13℃,小雨,西风 1级
2022-10-09,18℃,11℃,阴,北风 3级
2022-10-10,19℃,12℃,阴,西南风 2级
2022-11-01,24℃,16℃,雾,东南风 1级
2022-11-02,21℃,16℃,多云,北风 2级
2022-11-03,19℃,14℃,雾,东北风 1级
2022-11-04,19℃,13℃,小雨,东风 1级
2022-11-05,19℃,14℃,雾,东南风 2级
2022-11-06,20℃,15℃,雾,东北风 1级
2022-11-07,20℃,14℃,雾,北风 1级
2022-11-08,22℃,15℃,多云,东南风 1级
2022-11-09,18℃,16℃,雾,东风 2级
2022-11-10,21℃,16℃,雾,东北风 2级
2022-12-01,6℃,3℃,多云,东南风 1级
2022-12-02,9℃,5℃,多云,东风 2级
2022-12-03,7℃,6℃,雾,西风 2级
2022-12-04,12℃,5℃,雾,东南风 1级
2022-12-05,10℃,7℃,雾,东风 2级
2022-12-06,8℃,6℃,雾,西风 2级
2022-12-07,12℃,7℃,雾,东风 1级
2022-12-08,12℃,8℃,多云,南风 2级
2022-12-09,12℃,9℃,多云,西风 1级
2022-12-10,14℃,8℃,多云,西南风 1级
2022-01-01,13℃,2℃,多云,东南风 1级
2022-01-02,11℃,5℃,阴,东风 1级
2022-01-03,9℃,7℃,阴,北风 1级
2022-01-04,13℃,3℃,阴,南风 1级
2022-01-05,12℃,6℃,阴,北风 2级
2022-01-06,12℃,7℃,多云,北风 1级
2022-01-07,10℃,7℃,阴,北风 1级
2022-01-08,10℃,6℃,阴,北风 1级
2022-01-09,9℃,7℃,阴,北风 2级
2022-01-10,11℃,4℃,多云,东风 2级
2022-02-01,7℃,4℃,小雨,东北风 2级
2022-02-02,9℃,3℃,雾,西南风 1级
2022-02-03,8℃,4℃,雾,东北风 1级
2022-02-04,8℃,5℃,小雨,东南风 1级
2022-02-05,6℃,3℃,小雨,北风 1级
2022-02-06,6℃,2℃,小雨,北风 1级
2022-02-07,5℃,3℃,雾,东风 2级
2022-02-08,8℃,2℃,多云,南风 2级
2022-02-09,8℃,2℃,多云,东风 1级
2022-02-10,7℃,4℃,雾,北风 1级
2022-03-01,15℃,7℃,多云,东南风 1级
2022-03-02,17℃,7℃,阴,东北风 1级
2022-03-03,19℃,9℃,阴,南风 1级
2022-03-04,20℃,10℃,多云,西风 2级
2022-03-05,21℃,11℃,阴,东北风 2级
2022-03-06,21℃,9℃,晴,西南风 2级
2022-03-07,21℃,10℃,晴,东风 1级
2022-03-08,22℃,9℃,晴,北风 2级
2022-03-09,24℃,12℃,阴,北风 1级
2022-03-10,25℃,13℃,多云,北风 1级
2022-04-01,16℃,9℃,阴,西南风 1级
2022-04-02,20℃,10℃,多云,东南风 2级
2022-04-03,18℃,11℃,多云,北风 2级
2022-04-04,15℃,10℃,多云,西风 1级
2022-04-05,21℃,11℃,阴,南风 1级
2022-04-06,22℃,11℃,晴,南风 2级
2022-04-07,26℃,13℃,晴,南风 1级
2022-04-08,26℃,15℃,小雨,北风 1级
2022-04-09,29℃,16℃,多云,南风 2级
2022-04-10,29℃,17℃,多云,东南风 1级
2022-05-01,22℃,12℃,多云,西南风 3级
2022-05-02,25℃,11℃,多云,西南风 2级
2022-05-03,25℃,13℃,多云,南风 1级
2022-05-04,27℃,15℃,多云,南风 1级
2022-05-05,29℃,17℃,多云,南风 1级
2022-05-06,33℃,19℃,多云,东南风 2级
2022-05-07,32℃,20℃,多云,南风 2级
2022-05-08,27℃,17℃,小雨,北风 2级
2022-05-09,29℃,17℃,多云,南风 2级
2022-05-10,29℃,17℃,小雨,东北风 1级
2022-06-01,28℃,22℃,多云,东南风 2级
2022-06-02,30℃,22℃,晴,西南风 1级
2022-06-03,30℃,21℃,多云,南风 1级
2022-06-04,27℃,19℃,多云,西南风 2级
2022-06-05,30℃,20℃,多云,南风 2级
2022-06-06,31℃,21℃,多云,西南风 2级
2022-06-07,32℃,21℃,多云,南风 1级
2022-06-08,27℃,20℃,多云,东南风 1级
2022-06-09,26℃,20℃,多云,西风 1级
2022-06-10,27℃,20℃,阴,西南风 3级
2022-07-01,32℃,22℃,小雨,西南风 1级
2022-07-02,29℃,19℃,晴,西南风 1级
2022-07-03,32℃,22℃,晴,南风 2级
2022-07-04,34℃,24℃,多云,南风 1级
2022-07-05,36℃,24℃,晴,西南风 1级
2022-07-06,36℃,24℃,晴,南风 1级
2022-07-07,36℃,24℃,晴,西南风 1级
2022-07-08,37℃,25℃,晴,东南风 2级
2022-07-09,37℃,25℃,多云,西风 1级
2022-07-10,35℃,25℃,阴,北风 2级
2022-08-01,32℃,23℃,多云,西风 1级
2022-08-02,33℃,23℃,多云,西北风 1级
2022-08-03,34℃,24℃,雾,北风 2级
2022-08-04,31℃,24℃,小雨,东南风 1级
2022-08-05,34℃,24℃,雾,西风 1级
2022-08-06,34℃,25℃,多云,南风 1级
2022-08-07,37℃,25℃,多云,西北风 1级
2022-08-08,38℃,26℃,多云,西南风 1级
2022-08-09,38℃,25℃,多云,北风 1级
2022-08-10,38℃,25℃,多云,西北风 2级
2022-09-01,27℃,18℃,多云,南风 2级
2022-09-02,24℃,18℃,多云,东风 2级
2022-09-03,22℃,18℃,小雨,西南风 2级
2022-09-04,27℃,19℃,多云,西南风 2级
2022-09-05,32℃,19℃,雾,西南风 1级
2022-09-06,34℃,20℃,多云,西风 1级
2022-09-07,28℃,19℃,雾,北风 2级
2022-09-08,21℃,18℃,小雨,西北风 1级
2022-09-09,26℃,18℃,雾,南风 1级
2022-09-10,28℃,19℃,雾,东风 1级
2022-10-01,26℃,21℃,阴,北风 1级
2022-10-02,30℃,21℃,雾,东北风 1级
2022-10-03,24℃,17℃,雾,东北风 2级
2022-10-04,25℃,16℃,多云,南风 1级
2022-10-05,20℃,15℃,雾,东北风 1级
2022-10-06,19℃,14℃,多云,西南风 3级
2022-10-07,18℃,13℃,多云,东北风 1级
2022-10-08,17℃,13℃,小雨,西风 1级
2022-10-09,18℃,11℃,阴,北风 3级
2022-10-10,19℃,12℃,阴,西南风 2级
2022-11-01,24℃,16℃,雾,东南风 1级
2022-11-02,21℃,16℃,多云,北风 2级
2022-11-03,19℃,14℃,雾,东北风 1级
2022-11-04,19℃,13℃,小雨,东风 1级
2022-11-05,19℃,14℃,雾,东南风 2级
2022-11-06,20℃,15℃,雾,东北风 1级
2022-11-07,20℃,14℃,雾,北风 1级
2022-11-08,22℃,15℃,多云,东南风 1级
2022-11-09,18℃,16℃,雾,东风 2级
2022-11-10,21℃,16℃,雾,东北风 2级
2022-12-01,6℃,3℃,多云,东南风 1级
2022-12-02,9℃,5℃,多云,东风 2级
2022-12-03,7℃,6℃,雾,西风 2级
2022-12-04,12℃,5℃,雾,东南风 1级
2022-12-05,10℃,7℃,雾,东风 2级
2022-12-06,8℃,6℃,雾,西风 2级
2022-12-07,12℃,7℃,雾,东风 1级
2022-12-08,12℃,8℃,多云,南风 2级
2022-12-09,12℃,9℃,多云,西风 1级
2022-12-10,14℃,8℃,多云,西南风 1级
2012-10-01,24℃,17℃,多云,南风 小于3级
2012-10-02,20℃,17℃,小雨,南风 小于3级
2012-10-03,23℃,17℃,小雨转多云,微风 小于3级
2012-10-04,22℃,17℃,阵雨转阴,微风 小于3级
2012-10-05,21℃,16℃,小雨转阴,微风 小于3级
2012-10-06,22℃,16℃,小雨,微风 小于3级
2012-10-07,21℃,17℃,小雨转阵雨,微风 小于3级
2012-10-08,20℃,16℃,小雨,微风 小于3级
2012-10-09,23℃,14℃,阴,微风 小于3级
2012-10-10,21℃,15℃,阵雨,微风 小于3级
2012-11-01,22℃,11℃,多云,南风 小于3级
2012-11-02,22℃,12℃,多云,南风 小于3级
2012-11-03,16℃,11℃,阵雨转阴,北风 3-4级
2012-11-04,17℃,6℃,多云,微风 小于3级
2012-11-05,17℃,8℃,多云转阴,微风 小于3级
2012-11-06,14℃,10℃,小雨,微风 小于3级
2012-11-07,14℃,10℃,阵雨,微风 小于3级
2012-11-08,14℃,9℃,阵雨,微风 小于3级
2012-11-09,17℃,10℃,阴转多云,南风 3-4级
2012-11-10,17℃,11℃,阵雨转阴,微风 小于3级
2012-12-01,12℃,5℃,小雨转多云,微风 小于3级
2012-12-02,14℃,5℃,多云,南风 小于3级
2012-12-03,11℃,3℃,多云转阴,南风 小于3级
2012-12-04,12℃,5℃,多云,南风 小于3级
2012-12-05,13℃,4℃,阴转多云,南风 小于3级
2012-12-06,15℃,3℃,多云,南风 小于3级
2012-12-07,12℃,6℃,多云,南风 小于3级
2012-12-08,12℃,8℃,阴,微风 微风
2012-12-09,12℃,8℃,阴,微风 微风
2012-12-10,12℃,6℃,阴转小雨,北风 小于3级
2013-01-01,8℃,-2℃,多云,南风 小于3级
2013-01-02,7℃,1℃,多云转阴,南风~微风 小于3级
2013-01-03,4℃,-1℃,雨夹雪,北风 3-4级
2013-01-04,4℃,-1℃,小雪转阴,北风 3-4级
2013-01-05,5℃,0℃,雨夹雪转阴,北风 3-4级
2013-01-06,5℃,0℃,雨夹雪,微风 小于3级
2013-01-07,7℃,-2℃,多云转阴,南风 小于3级
2013-01-08,8℃,0℃,阴转多云,南风 小于3级
2013-01-09,9℃,-1℃,多云,南风 小于3级
2013-01-10,8℃,1℃,阴转多云,南风 小于3级
2013-02-01,16℃,5℃,多云,南风 小于3级
2013-02-02,15℃,7℃,阴转多云,南风 小于3级
2013-02-03,16℃,7℃,多云,南风 小于3级
2013-02-04,18℃,8℃,多云,南风 小于3级
2013-02-05,18℃,6℃,多云,南风 小于3级
2013-02-06,16℃,8℃,多云,南风 小于3级
2013-02-07,13℃,6℃,阴转小雨,微风 小于3级
2013-02-08,9℃,3℃,小雨,北风 3-4级
2013-02-09,11℃,2℃,阴,北风~南风 3-4级~小于3级
2013-02-10,11℃,2℃,多云,南风 小于3级
2012-01-01,9℃,5℃,小雨,北风 微风
2012-01-02,7℃,4℃,小雨,北风 微风
2012-01-03,6℃,2℃,阴,北风 微风
2012-01-04,7℃,0℃,阴~阵雨,北风 微风
2012-01-05,5℃,0℃,阴,北风 微风
2012-01-06,7℃,3℃,阴,南风 微风
2012-01-07,7℃,0℃,阵雨,北风 微风
2012-01-08,7℃,3℃,阴~阵雨,北风 微风
2012-01-09,8℃,3℃,阴,南风 微风
2012-01-10,7℃,3℃,小雨,北风 微风
2012-02-01,10℃,6℃,阴~小雨,南风~北风 微风
2012-02-02,8℃,2℃,小雨~阴,北风 微风
2012-02-03,9℃,2℃,阴~多云,南风 微风
2012-02-04,11℃,4℃,多云,南风 微风
2012-02-05,9℃,3℃,多云,南风 微风
2012-02-06,11℃,4℃,多云,南风 微风
2012-02-07,9℃,3℃,阴,北风~南风 微风
2012-02-08,6℃,4℃,小雨,北风 微风
2012-02-09,6℃,3℃,小雨,北风 微风
2012-02-10,7℃,2℃,多云,南风 微风
2012-03-01,10℃,4℃,小雨~阴,北风 微风
2012-03-02,12℃,4℃,阴~小雨,南风 微风
2012-03-03,12℃,6℃,阴~小雨,北风 微风
2012-03-04,11℃,6℃,小雨,北风 微风
2012-03-05,10℃,6℃,阴~小雨,北风 微风
2012-03-06,10℃,6℃,阴~小雨,北风 微风
2012-03-07,10℃,6℃,小雨,北风 微风
2012-03-08,9℃,5℃,小雨,北风 微风
2012-03-09,10℃,5℃,阴~小雨,北风 微风
2012-03-10,14℃,2℃,多云~阴,北风 微风
2012-04-01,22℃,11℃,阵雨转多云,微风 小于3级
2012-04-02,22℃,11℃,阵雨转多云,微风 小于3级
2012-04-03,19℃,14℃,阵雨转多云,微风 小于3级
2012-04-04,21℃,12℃,阵雨转多云,微风 小于3级
2012-04-05,21℃,12℃,阵雨转多云,微风 小于3级
2012-04-06,20℃,13℃,阵雨转多云,微风 小于3级
2012-04-07,19℃,14℃,阵雨转多云,微风 小于3级
2012-04-08,21℃,12℃,阵雨转多云,微风 小于3级
2012-04-09,19℃,14℃,阵雨转多云,微风 小于3级
2012-04-10,21℃,12℃,阵雨转多云,微风 小于3级
2012-05-01,27℃,17℃,阴转多云,微风 小于3级
2012-05-02,25℃,18℃,多云转阵雨,南风 小于3级
2012-05-03,25℃,18℃,阵雨转阴,南风 小于3级
2012-05-04,25℃,17℃,阵雨,微风 小于3级
2012-05-05,27℃,19℃,阵雨,南风 小于3级
2012-05-06,25℃,19℃,阵雨转阴,微风 小于3级
2012-05-07,27℃,19℃,阵雨转多云,南风 小于3级
2012-05-08,27℃,19℃,阵雨转多云,南风 小于3级
2012-05-09,32℃,20℃,多云,南风 小于3级
2012-05-10,28℃,21℃,阵雨,南风 小于3级
2012-06-01,27℃,18℃,多云,南风 小于3级
2012-06-02,26℃,18℃,多云转阵雨,南风 小于3级
2012-06-03,25℃,18℃,阵雨,北风 小于3级
2012-06-04,25℃,17℃,阴转阵雨,南风 小于3级
2012-06-05,24℃,19℃,阴转小雨,北风 小于3级
2012-06-06,26℃,20℃,阴,南风 小于3级
2012-06-07,29℃,21℃,多云,南风 小于3级
2012-06-08,29℃,20℃,多云,南风 小于3级
2012-06-09,29℃,21℃,多云转阵雨,南风 小于3级
2012-06-10,30℃,21℃,多云,南风 小于3级
2012-07-01,28℃,22℃,阴转多云,南风 小于3级
2012-07-02,27℃,23℃,阵雨转中雨,南风~北风 小于3级
2012-07-03,25℃,21℃,阴转中到大雨,南风 小于3级
2012-07-04,26℃,21℃,中雨转阵雨,微风 小于3级
2012-07-05,30℃,21℃,多云,南风 小于3级
2012-07-06,29℃,23℃,多云转阵雨,南风 小于3级
2012-07-07,29℃,23℃,多云转雷阵雨,南风~北风 3-4级
2012-07-08,29℃,23℃,阵雨转小到中雨,南风 小于3级
2012-07-09,28℃,22℃,阵雨转阴,南风 小于3级
2012-07-10,28℃,23℃,阵雨,北风 小于3级
2012-08-01,28℃,23℃,阵雨转多云,微风 小于3级
2012-08-02,31℃,23℃,阴转阵雨,北风 小于3级
2012-08-03,32℃,23℃,多云,南风 小于3级
2012-08-04,33℃,24℃,多云,南风 小于3级
2012-08-05,33℃,24℃,阴转多云,南风 小于3级
2012-08-06,29℃,24℃,阴转中雨,北风 3-4级
2012-08-07,33℃,23℃,阵雨转多云,微风~南风 小于3级
2012-08-08,34℃,24℃,晴,南风 小于3级
2012-08-09,34℃,24℃,晴,南风 小于3级
2012-08-10,35℃,25℃,晴,南风 小于3级
2012-09-01,24℃,20℃,中雨,北风 3-4级
2012-09-02,28℃,21℃,阵雨转多云,微风 小于3级
2012-09-03,29℃,20℃,多云转晴,南风 小于3级
2012-09-04,30℃,21℃,多云,南风 小于3级
2012-09-05,31℃,20℃,多云,微风 小于3级
2012-09-06,30℃,21℃,多云,南风 小于3级
2012-09-07,29℃,21℃,阵雨,南风 小于3级
2012-09-08,29℃,21℃,阵雨转多云,南风 小于3级
2012-09-09,30℃,21℃,多云,南风 小于3级
2012-09-10,27℃,20℃,中雨,微风 小于3级
2012-10-01,24℃,17℃,多云,南风 小于3级
2012-10-02,20℃,17℃,小雨,南风 小于3级
2012-10-03,23℃,17℃,小雨转多云,微风 小于3级
2012-10-04,22℃,17℃,阵雨转阴,微风 小于3级
2012-10-05,21℃,16℃,小雨转阴,微风 小于3级
2012-10-06,22℃,16℃,小雨,微风 小于3级
2012-10-07,21℃,17℃,小雨转阵雨,微风 小于3级
2012-10-08,20℃,16℃,小雨,微风 小于3级
2012-10-09,23℃,14℃,阴,微风 小于3级
2012-10-10,21℃,15℃,阵雨,微风 小于3级
2012-11-01,22℃,11℃,多云,南风 小于3级
2012-11-02,22℃,12℃,多云,南风 小于3级
2012-11-03,16℃,11℃,阵雨转阴,北风 3-4级
2012-11-04,17℃,6℃,多云,微风 小于3级
2012-11-05,17℃,8℃,多云转阴,微风 小于3级
2012-11-06,14℃,10℃,小雨,微风 小于3级
2012-11-07,14℃,10℃,阵雨,微风 小于3级
2012-11-08,14℃,9℃,阵雨,微风 小于3级
2012-11-09,17℃,10℃,阴转多云,南风 3-4级
2012-11-10,17℃,11℃,阵雨转阴,微风 小于3级
2012-12-01,12℃,5℃,小雨转多云,微风 小于3级
2012-12-02,14℃,5℃,多云,南风 小于3级
2012-12-03,11℃,3℃,多云转阴,南风 小于3级
2012-12-04,12℃,5℃,多云,南风 小于3级
2012-12-05,13℃,4℃,阴转多云,南风 小于3级
2012-12-06,15℃,3℃,多云,南风 小于3级
2012-12-07,12℃,6℃,多云,南风 小于3级
2012-12-08,12℃,8℃,阴,微风 微风
2012-12-09,12℃,8℃,阴,微风 微风
2012-12-10,12℃,6℃,阴转小雨,北风 小于3级
2013-01-01,8℃,-2℃,多云,南风 小于3级
2013-01-02,7℃,1℃,多云转阴,南风~微风 小于3级
2013-01-03,4℃,-1℃,雨夹雪,北风 3-4级
2013-01-04,4℃,-1℃,小雪转阴,北风 3-4级
2013-01-05,5℃,0℃,雨夹雪转阴,北风 3-4级
2013-01-06,5℃,0℃,雨夹雪,微风 小于3级
2013-01-07,7℃,-2℃,多云转阴,南风 小于3级
2013-01-08,8℃,0℃,阴转多云,南风 小于3级
2013-01-09,9℃,-1℃,多云,南风 小于3级
2013-01-10,8℃,1℃,阴转多云,南风 小于3级
2013-02-01,16℃,5℃,多云,南风 小于3级
